epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.4941,0.83034,0.77236,1,0.56231,0.00015,0.00015,0.08515
2,35.0614,0.41649,0.89431,1,0.27122,0.000303862,0.000303862,0.0693039
3,51.3156,0.27645,0.95122,1,0.12101,0.000451388,0.000451388,0.0534514
4,68.2331,0.20123,0.99187,1,0.0397,0.000592578,0.000592578,0.0375926
5,84.2788,0.18206,0.98374,1,0.03215,0.000727432,0.000727432,0.0217274
6,100.676,0.15851,0.99187,1,0.02284,0.00085595,0.00085595,0.00585595
7,116.342,0.15245,0.99187,1,0.01456,0.0008812,0.0008812,0.0008812
8,131.552,0.12298,0.99187,1,0.02914,0.0008614,0.0008614,0.0008614
9,146.475,0.14368,0.99187,1,0.03354,0.0008416,0.0008416,0.0008416
10,161.393,0.10986,0.98374,1,0.04771,0.0008218,0.0008218,0.0008218
11,176.283,0.13694,0.98374,1,0.04553,0.000802,0.000802,0.000802
12,191.744,0.11271,0.99187,1,0.03055,0.0007822,0.0007822,0.0007822
13,206.817,0.11148,0.99187,1,0.03501,0.0007624,0.0007624,0.0007624
14,221.82,0.07933,0.99187,1,0.02871,0.0007426,0.0007426,0.0007426
